Año,Trimestre,Accesos internet 100 hogares,Accesos internet 100 hab,Accesos TV por suscripción por cada 100 hab,Accesos TV satelital por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV satelital por cada 100 hogares,Accesos movil 100 hab
2022,4,77.21,24.15,16.55,3.96,52.9,12.66,12.865
2022,3,76.64,23.95,16.56,4.46,52.97,14.27,12.798
2022,2,75.97,23.72,16.55,4.47,53.01,14.31,12.795
2022,1,73.88,23.05,16.41,4.45,52.61,14.25,12.837
2021,4,73.18,22.81,16.52,4.37,52.99,14.02,12.844
2021,3,70.58,21.98,16.73,4.68,53.72,15.03,12.601
2021,2,69.24,21.55,16.02,5.08,51.48,16.33,12.426
2021,1,67.95,21.13,16.09,4.95,51.74,15.93,12.362
2020,4,67.62,21.01,16.1,5.09,51.8,16.39,12.021
2020,3,66.31,20.59,16.13,5.4,51.95,17.38,12.018
2020,2,64.21,19.92,15.93,5.41,51.36,17.45,12.171
2020,1,62.86,19.48,15.97,5.43,51.51,17.52,12.381
2019,4,62.92,19.49,16.17,5.45,52.21,17.6,12.489
2019,3,65.79,20.36,15.9,5.47,51.37,17.67,12.868
2019,2,64.53,19.96,15.7,5.48,50.76,17.72,12.891
2019,1,62.48,19.31,15.58,5.52,50.42,17.87,13.117
2018,4,61.42,18.97,15.47,5.54,50.1,17.94,13.115
2018,3,60.69,18.73,15.8,5.69,51.21,18.44,13.202
2018,2,59.16,18.24,15.59,5.63,50.56,18.26,13.376
2018,1,58.82,18.12,15.63,5.56,50.73,18.05,13.659
2017,4,57.78,17.79,15.43,5.79,50.12,18.81,13.994
2017,3,56.9,17.51,15.36,5.89,49.84,19.1,14.105
2017,2,54.9,16.88,15.38,5.85,50.0,19.04,14.281
2017,1,54.16,16.64,14.99,5.75,49.01,18.77,14.359
2016,4,53.94,16.56,15.03,6.11,50.45,20.49,14.555
2016,3,53.73,16.5,15.0,6.03,50.34,20.24,14.56
2016,2,53.34,16.37,14.99,6.06,50.3,20.34,14.264
2016,1,51.85,15.9,14.92,5.83,50.08,19.55,14.155
2015,4,52.63,16.12,15.08,5.88,50.61,19.74,14.275
2015,3,52.46,16.05,15.05,5.99,50.48,20.11,14.056
2015,2,51.76,15.82,14.98,5.99,50.25,20.09,13.894
2015,1,51.36,15.68,14.86,5.79,49.86,19.41,14.012
2014,4,50.5,15.39,15.18,5.78,50.92,19.18,14.26
2014,3,50.67,15.43,15.12,5.74,50.7,19.06,14.344
2014,2,49.86,15.16,15.09,5.97,50.61,19.81,14.3
2014,1,49.55,15.05,12.74,5.57,42.72,18.48,14.807
